        A        B		C
i1	27.98    27.16504854    NA
i2     -10.07   -9.776699029   -9.21547651
i3	20.23    20.8369        NA
i4	35       33.98058252    NA
i5     -18.6    -17.02163486    NA
i6	9.48     8.935809219    8.675542931
i7     -1.44    -1.317803989    NA
i8	5.18     4.882646809    NA
i9	2.1      NA             NA
i10    -5.03    -5.1809        -4.883495146	
i11	41.14    37.64892787    NA
i12    -5.25     NA             NA
i13     167.94   163.0485437    NA
i14    -6.52     NA             NA
i15     16.72    15.7602036     NA
i16	8.26     7.559070106    7.338903016
